track_id,track_name,artist_name,status,source,fail_reason,lyric_len
2UU11hvjN1JIn4iihEodNT,Blue,V,ok,genius,,648
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),Daniel Caesar,ok,genius,,1443
0xJWNEUYTU5tle6ezjf0gE,Mad At Me.,Kiana Ledé,ok,genius,,1676
5ngJKkOmjkN460b2ApBnLk,Don't,Colette Lush,ok,genius,,1556
1WM8ow5z3QyLEB5br1u7Y5,PELEAS,Becky G,ok,genius,,1746
6KCvMsAiL6WseKEFsWoPgc,MERCURIO,KAROL G,ok,genius,,1373
7DswEZZthZ6piQpL25qGAM,On My Mama,Victoria Monét,ok,genius,,2079
2v92oN27BTO98W6xcQHlMu,Magic,Kiana Ledé,ok,genius,,1035
5ZWbzxXxywmBQI0eHDUmLV,Same Type,Kiana Ledé,ok,genius,,1274
58z9odzkFuph91CkBcmOzY,Deeper,Kiana Ledé,ok,genius,,1646
02gFgSPCOx4q306IAji6gt,Damage,Kiana Ledé,ok,genius,,1294
3NaYHkZmo48PEkbRQMyXAT,LMK,Kiana Ledé,ok,genius,,2102
4CNzuSQoL5jgCxzYmuMvcz,Like It (with 6LACK),Summer Walker,ok,genius,,1657
1Fraz3CzCuOULnToogIwWW,Bad News,Kehlani,ok,genius,,1709
1VzRN9cI7H5NWILRuOXvz3,Bitter Bitch - INTROlude,Kiana Ledé,ok,genius,,1341
7hYec1vvRkr9EguGV1IBYH,Promise Me,Kiana Ledé,ok,genius,,1206
1dduMILdDnevJDX0I9IAhm,Gemini Slander,Kiana Ledé,ok,genius,,1645
1Qu24vc8msUVLcMZWa4k1x,Want U Around (feat. Ruel),Omar Apollo,ok,genius,,1025
3tZs3nVjySLbL320lP4mvs,Focus,H.E.R.,ok,genius,,1047
1De7cOMrdUnVpjWBaowMg4,Ex For A Reason (with JT from City Girls),Summer Walker,ok,genius,,21190
4hT5mhLsU88gfHLp4NNLiP,Feel A Way.,Kiana Ledé,ok,genius,,2065
1OZKWxWTMPjU2ih42LGLhM,Trust Issues,Lauren Jauregui,ok,genius,,1368
73mtUJm1RDa0SEW3KL4ePU,Fallen Angel,Ella Mai,ok,genius,,2692
7pgbDdy7ax962o9d2xJceV,Slow Dancing (Piano Ver.),V,ok,genius,,519
5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),Zedd,ok,genius,,2903
6PUcucXjfFBZoDdEovYfmm,rightontime,Colette Lush,ok,genius,,1233
4MdYt1MK3nwqdrf80anjEQ,l'olympia,Colette Lush,ok,genius,,1209
426h8S29B034vwwX3uINvg,BACARDI,Carol Biazin,ok,genius,,1624
7nSataGo54Le0IfcFQCFLN,Love Love,Gilsons,ok,genius,,798
5pJdqRR48uFrq1C6Z6Cvjm,Say Less,Colette Lush,ok,genius,,979
2OdHk6zolfdFNuIcV4eamx,hedonista,Clarissa,ok,genius,,1181
3krZxyBsWEHfEfJegYaWTd,Come Through (feat. Chris Brown),H.E.R.,ok,genius,,2392
54XqJ3fP3GxmUejMsKwCaK,One Of The Girls,The Weeknd,ok,genius,,1698
1826XXl1rbdbhFk5xdnXNA,That's Why I Love You,SiR,ok,genius,,2062
5DfWF0jqMgZDCiu9zJENTA,Ring (feat. Kehlani),Cardi B,ok,genius,,2447
3JXF3LsUjyDIHjuwhXxdjo,Sweetest Pie,Megan Thee Stallion,ok,genius,,3161
7jmCOpVgNsBddpmWAfYJGX,Red Wine,Megan Thee Stallion,ok,genius,,2506
0uDdI4fAXCuNhQbmxENdsO,Can I,Kehlani,ok,genius,,2127
0755vnFQZLSgHHWbR1qCjY,Rocket,Beyoncé,ok,genius,,3104
6jTQijAuYxOd8DjQ8D6UkL,What Do I Do,SZA,ok,genius,,1859
5qDsS7CUDMuHheybuyaUub,1697,Carol Biazin,ok,genius,,1321
6l82v8lFlguhAHNQrI80iU,Corações de Pedra,Carol Biazin,ok,genius,,1816
5BcKtF6LS3lkrByxsuew70,Amor Traumatizado,Carol Biazin,ok,genius,,1602
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,ok,genius,,1415
4qrCMSDCJQu5yo0OeTc9jh,voicemail,Colette Lush,ok,genius,,1968
5wTVNpi5WDByxBgKgUE6MU,Supermodel,SZA,ok,genius,,1703
4uMvvCwqs046uxyJiFJTT1,Forfeit. (ft. Lucky Daye),Kiana Ledé,ok,genius,,1804
4k6hX9RKD096K1NCjjJZLc,Footsteps (feat. Musiq Soulchild),Kehlani,ok,genius,,3107
4CDIfDhXDeewj7x0U4AT4i,Natural,Kiana Ledé,ok,genius,,1111
1liiwnCXoqwPVrC0LWxaYq,Hearts On Deck,Ella Mai,ok,genius,,3379
3ixt0k3COtat3YWQtoQMmN,Burn It Up,Kiana Ledé,ok,genius,,1065
6iBMj762l27f5fH6E1PUHE,TUDO,Liniker,ok,genius,,1635
7tmvvRmUqzCRjRx9ub8K7i,CAJU,Liniker,ok,genius,,2076
21nV7Brjy93nQPM98QwIfr,VELUDO MARROM,Liniker,ok,genius,,1458
0SCIwbS0Q4etwJmDyNjHaQ,Diamond Boy (DTM),SZA,ok,genius,,2099
3U3hFkMr0Q90pD24EkE3Pr,BMF,SZA,ok,genius,,2007
6Ry9Jqt3riMhgX46T6XwdL,Baby 95,Liniker,ok,genius,,1506
6HDGusXxkSrxZ7iAKbc6eu,AMAReSÓ,Carol Biazin,ok,genius,,972
6YaD8CoJIb0HGulK8n21RZ,Códigos,Carol Biazin,ok,genius,,964
28QD38TKusAwVZ89kKlqrj,um amor calmo,Carol Biazin,ok,genius,,1498
0bxPRWprUVpQK0UFcddkrA,Folded,Kehlani,ok,genius,,1984
2saiiXH63lUebPVEFf0Ysa,CHARME,Liniker,ok,genius,,723
2phXJtsC5wgx8eUp1igDCi,Presente,Liniker,ok,genius,,839
